"40 Winks [NTSC-U] [SLUS-00874]","40 Winks-W1L1_spider"
"Army Men - Sarge's Heroes (USA)","armymen-start"
"Banjo-Kazooie (USA) (Rev-A)","banjokazooie-100%"
"Banjo-Kazooie (USA) (Rev-A)","banjokazooie-swim"
"Blasto! [U] [SCUS-94412].cue","blasto-L1_start"
"Bubsy 3D [NTSC-U]","bubsy3d-L1_start_beginning"
"bblit","bugsbunnylostintime-rinkwatch"
"bblit","bugsbunnylostintime-rinkwatch_friend"
"bblit","bugsbunnylostintime-rinkwatch_withapple"
"bblit","bugsbunnylostintime-rinkwatch_withbox"
"Castlevania (USA) (Rev-B)","castlevania64-freemov_girl"
"Castlevania (USA) (Rev-B)","castlevania64-lightning"
"Croc - Legend of the Gobbos [U] [SLUS-00530]","croclegendofglobbos-W1L3_pushingblock"
"Croc - Legend of the Gobbos [U] [SLUS-00530]","croclegendofglobbos-W1LB_floatingplatform"
"Jersey Devil [NTSC-U] [SCUS-94907]","jerseydevil-L1_waterfountain_jumpprison"
"Looney Tunes - Sheep Raider.cue","sheepraiders-L0_rocket"
"Looney Tunes - Sheep Raider.cue","sheepraiders-L0_sheep"
"MEDIEVIL.cue","MediEvil (USA)-hallofheroes"
"MEDIEVIL.cue","MediEvil (USA)-waterprison"
"Muppet Monster Adventure [SLUS-01238]","muppetmonsteradventure-castletop_slide"
"Muppet Monster Adventure [SLUS-01238]","muppetmonsteradventure-swim"
"Rayman 2 - The Great Escape (USA)","rayman64-posttutorial_waterfall"
"Super Mario 64 (U) [!]","sm64-100%_courtyard_start"
"Super Mario 64 (U) [!]","sm64-100%_jollyrogerbay_start_star1"
"Super Mario 64 (U) [!]","sm64-100%-peachcastle-lookingatsun"
"Super Mario 64 (U) [!]","sm64-100%_bobombbattlefield_cannon2"
"Super Mario 64 (U) [!]","sm64-100%_wetdryworld_starselect"
"Superman (U) (M3) [!]","superman64-walking_bridge_practice"
"zelda-mm","zeldamajorasmask-beginning_triplejump"
"Glover (USA)","glover-beginning"
"Hybrid Heaven (USA)","hybridheaven-funhallway"
"Mega Man 64 (USA)","megaman64-posttutorial"
"Mystical Ninja Starring Goemon (USA)","mysticalninja-beginning"
"Mystical Ninja Starring Goemon (USA)","mysticalninja-swim"
"Quest 64 (USA)","quest64-stairshallway"
"Spyro the Dragon (USA).cue","spyro-unremarkable_hill_invisiblewall"
